;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.85418271238267e-07;1.18704684434429e-06;2.0556282887868e-06;3.55926179648802e-06;6.16125300803494e-06;1.06609123858449e-05;1.84332569502685e-05;3.18318354522093e-05;5.48501792178721e-05;9.41626648335853e-05;0.000160632667709482;0.00027113520101169;0.000449771469586551;0.000725888323757665;0.00112442867396638;0.00164627783766138;0.00224885734793276;0.00285143685820414;0.00337328602189914;0.00377182637210785;0.00404794322627897;0.00422657949485383;0.00433708202815603;0.00440355203103193;0.00444286451664765;0.00446588286041331;0.00447928143891525;0.00448705378347967;0.00449155344285748;0.00449415543406903;0.00449565906757673
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.85418271238267e-07;1.18704684434429e-06;2.0556282887868e-06;3.55926179648802e-06;6.16125300803494e-06;1.06609123858449e-05;1.84332569502685e-05;3.18318354522093e-05;5.48501792178721e-05;9.41626648335853e-05;0.000160632667709482;0.00027113520101169;0.000449771469586551;0.000725888323757665;0.00112442867396638;0.00164627783766138;0.00224885734793276;0.00285143685820414;0.00337328602189914;0.00377182637210785;0.00404794322627897;0.00422657949485383;0.00433708202815603;0.00440355203103193;0.00444286451664765;0.00446588286041331;0.00447928143891525;0.00448705378347967;0.00449155344285748;0.00449415543406903;0.00449565906757673
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.52736937601133e-07;6.10890147277004e-07;1.05788838415843e-06;1.83170358727928e-06;3.17076682813512e-06;5.48642740471926e-06;9.48631059237146e-06;1.63816236403367e-05;2.82275583480322e-05;4.84589504300136e-05;8.26664208763799e-05;0.000139534360979246;0.000231465978453864;0.000373564048562824;0.00057866494613466;0.000847224282259357;0.00115732989226932;0.00146743550227928;0.00173599483840398;0.00194109573597582;0.00208319380608478;0.0021751254235594;0.00223199336366226;0.00226620083410863;0.00228643222619061;0.00229827816089831;0.00230517347394627;0.00230917335713392;0.00231148901771051;0.00231282808095136;0.00231360189615448
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.52736937601133e-07;6.10890147277004e-07;1.05788838415843e-06;1.83170358727928e-06;3.17076682813512e-06;5.48642740471926e-06;9.48631059237146e-06;1.63816236403367e-05;2.82275583480322e-05;4.84589504300136e-05;8.26664208763799e-05;0.000139534360979246;0.000231465978453864;0.000373564048562824;0.00057866494613466;0.000847224282259357;0.00115732989226932;0.00146743550227928;0.00173599483840398;0.00194109573597582;0.00208319380608478;0.0021751254235594;0.00223199336366226;0.00226620083410863;0.00228643222619061;0.00229827816089831;0.00230517347394627;0.00230917335713392;0.00231148901771051;0.00231282808095136;0.00231360189615448
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62518114411582e-07;2.81458232084377e-07;4.87405789199636e-07;8.43929232900961e-07;1.46088200927233e-06;2.52778697557117e-06;4.37067158511804e-06;7.5475809342037e-06;1.30054130093756e-05;2.23267154945806e-05;3.80872809560286e-05;6.42883090049802e-05;0.00010664438667688;0.000172113885200867;0.000266610966692201;0.000390345546947489;0.000533221933384402;0.000676098319821314;0.000799832900076602;0.000894329981567937;0.000959799480091923;0.00100215555776382;0.00102835658581278;0.00104411715127422;0.00105343845375943;0.0010588962858346;0.00106207319518369;0.00106391607979323;0.00106498298475953;0.0010655999375359;0.0010659564609796
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.62518114411582e-07;2.81458232084377e-07;4.87405789199636e-07;8.43929232900961e-07;1.46088200927233e-06;2.52778697557117e-06;4.37067158511804e-06;7.5475809342037e-06;1.30054130093756e-05;2.23267154945806e-05;3.80872809560286e-05;6.42883090049802e-05;0.00010664438667688;0.000172113885200867;0.000266610966692201;0.000390345546947489;0.000533221933384402;0.000676098319821314;0.000799832900076602;0.000894329981567937;0.000959799480091923;0.00100215555776382;0.00102835658581278;0.00104411715127422;0.00105343845375943;0.0010588962858346;0.00106207319518369;0.00106391607979323;0.00106498298475953;0.0010655999375359;0.0010659564609796
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.57531502159297e-08;9.6556517097961e-08;1.67208487987628e-07;2.89516731497276e-07;5.01167358516344e-07;8.67177714146837e-07;1.49939414638086e-06;2.58925852736547e-06;4.46161185020648e-06;7.6593598646193e-06;1.30661489898904e-05;2.20546230311624e-05;3.65852171716931e-05;5.90450567962493e-05;9.14630429292328e-05;0.000133911188878103;0.000182926085858466;0.000231940982838828;0.000274389128787699;0.000306807114920682;0.000329266954545238;0.000343797548685769;0.000352786022727041;0.000358192811852312;0.000361390559866725;0.000363262913189566;0.000364352777570551;0.000364984994002785;0.000365351004358415;0.000365562654985434;0.000365684963228944
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.57531502159297e-08;9.6556517097961e-08;1.67208487987628e-07;2.89516731497276e-07;5.01167358516344e-07;8.67177714146837e-07;1.49939414638086e-06;2.58925852736547e-06;4.46161185020648e-06;7.6593598646193e-06;1.30661489898904e-05;2.20546230311624e-05;3.65852171716931e-05;5.90450567962493e-05;9.14630429292328e-05;0.000133911188878103;0.000182926085858466;0.000231940982838828;0.000274389128787699;0.000306807114920682;0.000329266954545238;0.000343797548685769;0.000352786022727041;0.000358192811852312;0.000361390559866725;0.000363262913189566;0.000364352777570551;0.000364984994002785;0.000365351004358415;0.000365562654985434;0.000365684963228944
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.02338615174771e-08;1.0431647103282e-07;1.80646526178101e-07;3.12784311639075e-07;5.41444656544774e-07;9.36870152496582e-07;1.61989589867904e-06;2.79734936889212e-06;4.82017803997177e-06;8.27491934735884e-06;1.41162356884887e-05;2.38270860809519e-05;3.95254599277685e-05;6.37903286286537e-05;9.88136498194213e-05;0.000144673224298271;0.000197627299638843;0.000250581374979414;0.000296440949458264;0.000331464270649032;0.000355729139349917;0.000371427513196734;0.000381138363589197;0.000386979679930327;0.000390434421237714;0.000392457249908793;0.000393634703379006;0.000394317729125189;0.000394713154621141;0.000394941814966046;0.000395073952751507
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.02338615174771e-08;1.0431647103282e-07;1.80646526178101e-07;3.12784311639075e-07;5.41444656544774e-07;9.36870152496582e-07;1.61989589867904e-06;2.79734936889212e-06;4.82017803997177e-06;8.27491934735884e-06;1.41162356884887e-05;2.38270860809519e-05;3.95254599277685e-05;6.37903286286537e-05;9.88136498194213e-05;0.000144673224298271;0.000197627299638843;0.000250581374979414;0.000296440949458264;0.000331464270649032;0.000355729139349917;0.000371427513196734;0.000381138363589197;0.000386979679930327;0.000390434421237714;0.000392457249908793;0.000393634703379006;0.000394317729125189;0.000394713154621141;0.000394941814966046;0.000395073952751507
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.06763341111993e-08;7.0445618496517e-08;1.21991821040992e-07;2.11225361357264e-07;3.6564123895574e-07;6.32674751073429e-07;1.09392665753152e-06;1.88906895039085e-06;3.25509883460598e-06;5.58810900773366e-06;9.53278944420322e-06;1.60905923994909e-05;2.6691810443769e-05;4.30780404077106e-05;6.67295261094226e-05;9.76988069541825e-05;0.000133459052218845;0.000169219297483508;0.000200188578328268;0.00022384006402998;0.000240226293993921;0.0002508275120382;0.000257385314993487;0.000261329995429957;0.000263663005603085;0.0002650290354873;0.000265824177780159;0.000266285429686617;0.000266552463198735;0.000266706879076333;0.00026679611261665
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.06763341111993e-08;7.0445618496517e-08;1.21991821040992e-07;2.11225361357264e-07;3.6564123895574e-07;6.32674751073429e-07;1.09392665753152e-06;1.88906895039085e-06;3.25509883460598e-06;5.58810900773366e-06;9.53278944420322e-06;1.60905923994909e-05;2.6691810443769e-05;4.30780404077106e-05;6.67295261094226e-05;9.76988069541825e-05;0.000133459052218845;0.000169219297483508;0.000200188578328268;0.00022384006402998;0.000240226293993921;0.0002508275120382;0.000257385314993487;0.000261329995429957;0.000263663005603085;0.0002650290354873;0.000265824177780159;0.000266285429686617;0.000266552463198735;0.000266706879076333;0.00026679611261665
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.35307117490252e-08;4.07518420487885e-08;7.05706263697914e-08;1.22191028291633e-07;2.11518534927539e-07;3.65993827214047e-07;6.32821846299604e-07;1.09280095950048e-06;1.88303085972077e-06;3.232645840789e-06;5.51459037489655e-06;9.30819111152968e-06;1.54408530497104e-05;2.49200665127689e-05;3.86021326242759e-05;5.65174447229641e-05;7.72042652485519e-05;9.78910857741395e-05;0.000115806397872828;0.000129488463984335;0.000138967677447393;0.000145100339385574;0.000148893940122207;0.000151175884656315;0.000152525499637383;0.000153315729537603;0.000153775708650804;0.00015404253666989;0.000154197011962176;0.000154286339468812;0.000154337959870734
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.35307117490252e-08;4.07518420487885e-08;7.05706263697914e-08;1.22191028291633e-07;2.11518534927539e-07;3.65993827214047e-07;6.32821846299604e-07;1.09280095950048e-06;1.88303085972077e-06;3.232645840789e-06;5.51459037489655e-06;9.30819111152968e-06;1.54408530497104e-05;2.49200665127689e-05;3.86021326242759e-05;5.65174447229641e-05;7.72042652485519e-05;9.78910857741395e-05;0.000115806397872828;0.000129488463984335;0.000138967677447393;0.000145100339385574;0.000148893940122207;0.000151175884656315;0.000152525499637383;0.000153315729537603;0.000153775708650804;0.00015404253666989;0.000154197011962176;0.000154286339468812;0.000154337959870734
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.61030711049459e-09;1.66436834373889e-08;2.88221367728819e-08;4.99047083893828e-08;8.63874455603637e-08;1.49477547368196e-07;2.58454242865022e-07;4.46316836628533e-07;7.6905896657397e-07;1.32026262702114e-06;2.2522441163952e-06;3.80160941067505e-06;6.30628352590656e-06;1.01777411136568e-05;1.57657088147664e-05;2.3082599739491e-05;3.15314176295328e-05;3.99802355195746e-05;4.72971264442992e-05;5.28850941454088e-05;5.67565517331591e-05;5.92612258483906e-05;6.08105911426704e-05;6.17425726320445e-05;6.22937762924917e-05;6.26165184224371e-05;6.28043810162006e-05;6.29133577116974e-05;6.29764478135053e-05;6.30129305506763e-05;6.30340131222928e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9.61030711049459e-09;1.66436834373889e-08;2.88221367728819e-08;4.99047083893828e-08;8.63874455603637e-08;1.49477547368196e-07;2.58454242865022e-07;4.46316836628533e-07;7.6905896657397e-07;1.32026262702114e-06;2.2522441163952e-06;3.80160941067505e-06;6.30628352590656e-06;1.01777411136568e-05;1.57657088147664e-05;2.3082599739491e-05;3.15314176295328e-05;3.99802355195746e-05;4.72971264442992e-05;5.28850941454088e-05;5.67565517331591e-05;5.92612258483906e-05;6.08105911426704e-05;6.17425726320445e-05;6.22937762924917e-05;6.26165184224371e-05;6.28043810162006e-05;6.29133577116974e-05;6.29764478135053e-05;6.30129305506763e-05;6.30340131222928e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.22817774533098e-09;3.85888656929876e-09;6.68249651044878e-09;1.15705522562361e-08;2.00291813217287e-08;3.46568055154828e-08;5.99233703477947e-08;1.0347986087315e-07;1.78308565425145e-07;3.06106742448247e-07;5.2218937017364e-07;8.81414234520862e-07;1.46213023648619e-06;2.35973897467083e-06;3.65532559121548e-06;5.35176810195295e-06;7.31065118243097e-06;9.26953426290898e-06;1.09659767736465e-05;1.22615633901911e-05;1.31591721283758e-05;1.37398881303411e-05;1.40991129946883e-05;1.43151956224137e-05;1.44429937994368e-05;1.45178225039888e-05;1.45613789945142e-05;1.45866455593465e-05;1.46012731835402e-05;1.46097318126057e-05;1.46146198683515e-05
F.1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.22817774533098e-09;3.85888656929876e-09;6.68249651044878e-09;1.15705522562361e-08;2.00291813217287e-08;3.46568055154828e-08;5.99233703477947e-08;1.0347986087315e-07;1.78308565425145e-07;3.06106742448247e-07;5.2218937017364e-07;8.81414234520862e-07;1.46213023648619e-06;2.35973897467083e-06;3.65532559121548e-06;5.35176810195295e-06;7.31065118243097e-06;9.26953426290898e-06;1.09659767736465e-05;1.22615633901911e-05;1.31591721283758e-05;1.37398881303411e-05;1.40991129946883e-05;1.43151956224137e-05;1.44429937994368e-05;1.45178225039888e-05;1.45613789945142e-05;1.45866455593465e-05;1.46012731835402e-05;1.46097318126057e-05;1.46146198683515e-05
