"","seasonality"
"F.1992.jan.1",0.041959577050412
"F.1992.jan.2",0.041959577050412
"F.1992.feb.1",0.00274631039600871
"F.1992.feb.2",0.00274631039600871
"F.1992.mar.1",0.000499547482999828
"F.1992.mar.2",0.000499547482999828
"F.1992.apr.1",0.0309392020523513
"F.1992.apr.2",0.0309392020523513
"F.1992.may.1",0.090961516061773
"F.1992.may.2",0.090961516061773
"F.1992.jun.1",0.052256617505543
"F.1992.jun.2",0.052256617505543
"F.1992.jul.1",0.0182208198240161
"F.1992.jul.2",0.0182208198240161
"F.1992.aug.1",0.00965571908066809
"F.1992.aug.2",0.00965571908066809
"F.1992.sep.1",0.000856755370876853
"F.1992.sep.2",0.000856755370876853
"F.1992.oct.1",0.0230649056560254
"F.1992.oct.2",0.0230649056560254
"F.1992.nov.1",0.0838961401162585
"F.1992.nov.2",0.0838961401162585
"F.1992.dec.1",0.144942889403067
"F.1992.dec.2",0.144942889403067
"F.1993.jan.1",0.128909291145024
"F.1993.jan.2",0.128909291145024
"F.1993.feb.1",0
"F.1993.feb.2",0
"F.1993.mar.1",0.0627899961998029
"F.1993.mar.2",0.0627899961998029
"F.1993.apr.1",0.0821995375886163
"F.1993.apr.2",0.0821995375886163
"F.1993.may.1",0.0475306985049559
"F.1993.may.2",0.0475306985049559
"F.1993.jun.1",0.038265941152328
"F.1993.jun.2",0.038265941152328
"F.1993.jul.1",0.0273228507421399
"F.1993.jul.2",0.0273228507421399
"F.1993.aug.1",0
"F.1993.aug.2",0
"F.1993.sep.1",7.03296478764345e-07
"F.1993.sep.2",7.03296478764345e-07
"F.1993.oct.1",0.02053029983407
"F.1993.oct.2",0.02053029983407
"F.1993.nov.1",0.0378291088097969
"F.1993.nov.2",0.0378291088097969
"F.1993.dec.1",0.054621572726787
"F.1993.dec.2",0.054621572726787
"F.1994.jan.1",0.0484479141406084
"F.1994.jan.2",0.0484479141406084
"F.1994.feb.1",0
"F.1994.feb.2",0
"F.1994.mar.1",0.0689872125194054
"F.1994.mar.2",0.0689872125194054
"F.1994.apr.1",0.072794426675484
"F.1994.apr.2",0.072794426675484
"F.1994.may.1",0.0582982086585876
"F.1994.may.2",0.0582982086585876
"F.1994.jun.1",0.0545455520836589
"F.1994.jun.2",0.0545455520836589
"F.1994.jul.1",0.0374898385634878
"F.1994.jul.2",0.0374898385634878
"F.1994.aug.1",0
"F.1994.aug.2",0
"F.1994.sep.1",0
"F.1994.sep.2",0
"F.1994.oct.1",0.045375125372731
"F.1994.oct.2",0.045375125372731
"F.1994.nov.1",0.0585463887223649
"F.1994.nov.2",0.0585463887223649
"F.1994.dec.1",0.055515333263672
"F.1994.dec.2",0.055515333263672
"F.1995.jan.1",0.138071140984461
"F.1995.jan.2",0.138071140984461
"F.1995.feb.1",0
"F.1995.feb.2",0
"F.1995.mar.1",5.37993137057462e-05
"F.1995.mar.2",5.37993137057462e-05
"F.1995.apr.1",0.0718547529758152
"F.1995.apr.2",0.0718547529758152
"F.1995.may.1",0.0678792784624762
"F.1995.may.2",0.0678792784624762
"F.1995.jun.1",0.052372690547177
"F.1995.jun.2",0.052372690547177
"F.1995.jul.1",0.0228004697018257
"F.1995.jul.2",0.0228004697018257
"F.1995.aug.1",4.13643069784758e-05
"F.1995.aug.2",4.13643069784758e-05
"F.1995.sep.1",0
"F.1995.sep.2",0
"F.1995.oct.1",0.0598228672714436
"F.1995.oct.2",0.0598228672714436
"F.1995.nov.1",0.0496877555579246
"F.1995.nov.2",0.0496877555579246
"F.1995.dec.1",0.0374158808781925
"F.1995.dec.2",0.0374158808781925
"F.1996.jan.1",0.0664234418250777
"F.1996.jan.2",0.0664234418250777
"F.1996.feb.1",0.0067099759093269
"F.1996.feb.2",0.0067099759093269
"F.1996.mar.1",0
"F.1996.mar.2",0
"F.1996.apr.1",0.0801338357484674
"F.1996.apr.2",0.0801338357484674
"F.1996.may.1",0.0774181014962362
"F.1996.may.2",0.0774181014962362
"F.1996.jun.1",0.0602985056626958
"F.1996.jun.2",0.0602985056626958
"F.1996.jul.1",0.0280238340933027
"F.1996.jul.2",0.0280238340933027
"F.1996.aug.1",0.00245044308619442
"F.1996.aug.2",0.00245044308619442
"F.1996.sep.1",0
"F.1996.sep.2",0
"F.1996.oct.1",0
"F.1996.oct.2",0
"F.1996.nov.1",0.0912004655436825
"F.1996.nov.2",0.0912004655436825
"F.1996.dec.1",0.0873413966350164
"F.1996.dec.2",0.0873413966350164
"F.1997.jan.1",0.058719635841373
"F.1997.jan.2",0.058719635841373
"F.1997.feb.1",0
"F.1997.feb.2",0
"F.1997.mar.1",0
"F.1997.mar.2",0
"F.1997.apr.1",0.164460539615983
"F.1997.apr.2",0.164460539615983
"F.1997.may.1",0.123401932977943
"F.1997.may.2",0.123401932977943
"F.1997.jun.1",0.0396330384088031
"F.1997.jun.2",0.0396330384088031
"F.1997.jul.1",0.0294754063231063
"F.1997.jul.2",0.0294754063231063
"F.1997.aug.1",0
"F.1997.aug.2",0
"F.1997.sep.1",0
"F.1997.sep.2",0
"F.1997.oct.1",0.0322482946790772
"F.1997.oct.2",0.0322482946790772
"F.1997.nov.1",0.0520065352035215
"F.1997.nov.2",0.0520065352035215
"F.1997.dec.1",5.46169501924026e-05
"F.1997.dec.2",5.46169501924026e-05
"F.1998.jan.1",0.000336030882049669
"F.1998.jan.2",0.000336030882049669
"F.1998.feb.1",1.83277220845732e-05
"F.1998.feb.2",1.83277220845732e-05
"F.1998.mar.1",0
"F.1998.mar.2",0
"F.1998.apr.1",0
"F.1998.apr.2",0
"F.1998.may.1",0.0284626742544984
"F.1998.may.2",0.0284626742544984
"F.1998.jun.1",0.0461728751462393
"F.1998.jun.2",0.0461728751462393
"F.1998.jul.1",0.0607938578472366
"F.1998.jul.2",0.0607938578472366
"F.1998.aug.1",0.0191602358625255
"F.1998.aug.2",0.0191602358625255
"F.1998.sep.1",0
"F.1998.sep.2",0
"F.1998.oct.1",0.0197901070840818
"F.1998.oct.2",0.0197901070840818
"F.1998.nov.1",0.325265891201284
"F.1998.nov.2",0.325265891201284
"F.1998.dec.1",0
"F.1998.dec.2",0
"F.1999.jan.1",0.0177414807791565
"F.1999.jan.2",0.0177414807791565
"F.1999.feb.1",0
"F.1999.feb.2",0
"F.1999.mar.1",0
"F.1999.mar.2",0
"F.1999.apr.1",0.111048674544131
"F.1999.apr.2",0.111048674544131
"F.1999.may.1",0.081634595338238
"F.1999.may.2",0.081634595338238
"F.1999.jun.1",0.0648035234819721
"F.1999.jun.2",0.0648035234819721
"F.1999.jul.1",0.00828653758781753
"F.1999.jul.2",0.00828653758781753
"F.1999.aug.1",0
"F.1999.aug.2",0
"F.1999.sep.1",0
"F.1999.sep.2",0
"F.1999.oct.1",0.0504072657605048
"F.1999.oct.2",0.0504072657605048
"F.1999.nov.1",0.0611512946490089
"F.1999.nov.2",0.0611512946490089
"F.1999.dec.1",0.104926627859171
"F.1999.dec.2",0.104926627859171
"F.2000.jan.1",0
"F.2000.jan.2",0
"F.2000.feb.1",0
"F.2000.feb.2",0
"F.2000.mar.1",0.104750206865068
"F.2000.mar.2",0.104750206865068
"F.2000.apr.1",0.0509122471524171
"F.2000.apr.2",0.0509122471524171
"F.2000.may.1",0.0814232730334346
"F.2000.may.2",0.0814232730334346
"F.2000.jun.1",0.0754602786825688
"F.2000.jun.2",0.0754602786825688
"F.2000.jul.1",0.0570462812791725
"F.2000.jul.2",0.0570462812791725
"F.2000.aug.1",0
"F.2000.aug.2",0
"F.2000.sep.1",0
"F.2000.sep.2",0
"F.2000.oct.1",0.0229439685031547
"F.2000.oct.2",0.0229439685031547
"F.2000.nov.1",0.067018134278752
"F.2000.nov.2",0.067018134278752
"F.2000.dec.1",0.0404456102054324
"F.2000.dec.2",0.0404456102054324
