"","seasonality"
"F.1992.jan.1",0.235450700703314
"F.1992.jan.2",0.235450700703314
"F.1992.feb.1",0.121170039678235
"F.1992.feb.2",0.121170039678235
"F.1992.mar.1",0.0558272306427713
"F.1992.mar.2",0.0558272306427713
"F.1992.apr.1",0.0191519818417483
"F.1992.apr.2",0.0191519818417483
"F.1992.may.1",0.0206911684375369
"F.1992.may.2",0.0206911684375369
"F.1992.jun.1",0.0139728860032019
"F.1992.jun.2",0.0139728860032019
"F.1992.jul.1",0.00808312646721048
"F.1992.jul.2",0.00808312646721048
"F.1992.aug.1",0.00330127403673108
"F.1992.aug.2",0.00330127403673108
"F.1992.sep.1",0.000765410018151294
"F.1992.sep.2",0.000765410018151294
"F.1992.oct.1",0.00340798898446052
"F.1992.oct.2",0.00340798898446052
"F.1992.nov.1",0.0146683275179996
"F.1992.nov.2",0.0146683275179996
"F.1992.dec.1",0.00350986566863973
"F.1992.dec.2",0.00350986566863973
"F.1993.jan.1",0.0530262352856653
"F.1993.jan.2",0.0530262352856653
"F.1993.feb.1",0.0235217206317691
"F.1993.feb.2",0.0235217206317691
"F.1993.mar.1",0.0310572630434089
"F.1993.mar.2",0.0310572630434089
"F.1993.apr.1",0.0601803135545875
"F.1993.apr.2",0.0601803135545875
"F.1993.may.1",0.0245762805735552
"F.1993.may.2",0.0245762805735552
"F.1993.jun.1",0.0170191241277589
"F.1993.jun.2",0.0170191241277589
"F.1993.jul.1",0.00983701528608679
"F.1993.jul.2",0.00983701528608679
"F.1993.aug.1",0.0018397934437121
"F.1993.aug.2",0.0018397934437121
"F.1993.sep.1",0.00308841385155063
"F.1993.sep.2",0.00308841385155063
"F.1993.oct.1",0.125035979447712
"F.1993.oct.2",0.125035979447712
"F.1993.nov.1",0.123750613556308
"F.1993.nov.2",0.123750613556308
"F.1993.dec.1",0.0270672471978862
"F.1993.dec.2",0.0270672471978862
"F.1994.jan.1",0.00273087806730211
"F.1994.jan.2",0.00273087806730211
"F.1994.feb.1",0.00562825010602739
"F.1994.feb.2",0.00562825010602739
"F.1994.mar.1",0.00176496202726677
"F.1994.mar.2",0.00176496202726677
"F.1994.apr.1",0.00250157323976715
"F.1994.apr.2",0.00250157323976715
"F.1994.may.1",0.00351517998172826
