"","seasonality"
"F.1992.jan.1",0.0504189877695274
"F.1992.jan.2",0.0504189877695274
"F.1992.feb.1",0.0506610768917459
"F.1992.feb.2",0.0506610768917459
"F.1992.mar.1",0.0365374267478516
"F.1992.mar.2",0.0365374267478516
"F.1992.apr.1",0.012571938040957
"F.1992.apr.2",0.012571938040957
"F.1992.may.1",0.0198251710719724
"F.1992.may.2",0.0198251710719724
"F.1992.jun.1",0.0691465234657731
"F.1992.jun.2",0.0691465234657731
"F.1992.jul.1",0.0606284749020476
"F.1992.jul.2",0.0606284749020476
"F.1992.aug.1",0.0149162845294467
"F.1992.aug.2",0.0149162845294467
"F.1992.sep.1",0.0693566301648573
"F.1992.sep.2",0.0693566301648573
"F.1992.oct.1",0.0588768420656821
"F.1992.oct.2",0.0588768420656821
"F.1992.nov.1",0.0371355328712318
"F.1992.nov.2",0.0371355328712318
"F.1992.dec.1",0.0199251114789071
"F.1992.dec.2",0.0199251114789071
"F.1993.jan.1",0.0122039290430423
"F.1993.jan.2",0.0122039290430423
"F.1993.feb.1",0.0146519326988766
"F.1993.feb.2",0.0146519326988766
"F.1993.mar.1",0.0177818378626993
"F.1993.mar.2",0.0177818378626993
"F.1993.apr.1",0.0691965284598291
"F.1993.apr.2",0.0691965284598291
"F.1993.may.1",0.130145757330021
"F.1993.may.2",0.130145757330021
"F.1993.jun.1",0.0453989994655064
"F.1993.jun.2",0.0453989994655064
"F.1993.jul.1",0.000737263531527004
"F.1993.jul.2",0.000737263531527004
"F.1993.aug.1",0.00090959054852791
"F.1993.aug.2",0.00090959054852791
"F.1993.sep.1",0.00918975806937805
"F.1993.sep.2",0.00918975806937805
"F.1993.oct.1",0.0367272157793657
"F.1993.oct.2",0.0367272157793657
"F.1993.nov.1",0.0500696252403656
"F.1993.nov.2",0.0500696252403656
"F.1993.dec.1",0.112987561970861
"F.1993.dec.2",0.112987561970861
"F.1994.jan.1",0.0823998360820063
"F.1994.jan.2",0.0823998360820063
"F.1994.feb.1",0.0365237606540199
"F.1994.feb.2",0.0365237606540199
"F.1994.mar.1",0.0420686386374571
"F.1994.mar.2",0.0420686386374571
"F.1994.apr.1",0.0092517359539844
"F.1994.apr.2",0.0092517359539844
"F.1994.may.1",0.00756742704740917
"F.1994.may.2",0.00756742704740917
"F.1994.jun.1",0.0680400347745552
"F.1994.jun.2",0.0680400347745552
"F.1994.jul.1",0.0584335437146504
"F.1994.jul.2",0.0584335437146504
"F.1994.aug.1",0.0170526232912258
"F.1994.aug.2",0.0170526232912258
"F.1994.sep.1",0.0187452301418294
"F.1994.sep.2",0.0187452301418294
"F.1994.oct.1",0.0499958614307501
"F.1994.oct.2",0.0499958614307501
"F.1994.nov.1",0.0608987067353368
"F.1994.nov.2",0.0608987067353368
"F.1994.dec.1",0.0490226015367755
"F.1994.dec.2",0.0490226015367755
"F.1995.jan.1",0.0306708038801355
"F.1995.jan.2",0.0306708038801355
"F.1995.feb.1",0.0334479532183922
"F.1995.feb.2",0.0334479532183922
"F.1995.mar.1",0.0806653258306519
"F.1995.mar.2",0.0806653258306519
"F.1995.apr.1",0.0573049239831171
"F.1995.apr.2",0.0573049239831171
"F.1995.may.1",0.0641324178912308
"F.1995.may.2",0.0641324178912308
"F.1995.jun.1",0.0380087572991469
"F.1995.jun.2",0.0380087572991469
"F.1995.jul.1",0.0507507691979234
"F.1995.jul.2",0.0507507691979234
"F.1995.aug.1",0.0104779554521478
"F.1995.aug.2",0.0104779554521478
"F.1995.sep.1",0.0528042051966292
"F.1995.sep.2",0.0528042051966292
"F.1995.oct.1",0.0154342364257024
"F.1995.oct.2",0.0154342364257024
"F.1995.nov.1",0.0185379326879532
"F.1995.nov.2",0.0185379326879532
"F.1995.dec.1",0.0477647189369696
"F.1995.dec.2",0.0477647189369696
"F.1996.jan.1",0.137653657829631
"F.1996.jan.2",0.137653657829631
"F.1996.feb.1",0.0799003898227807
"F.1996.feb.2",0.0799003898227807
"F.1996.mar.1",0.00933954084197002
"F.1996.mar.2",0.00933954084197002
"F.1996.apr.1",0.0231777863167795
"F.1996.apr.2",0.0231777863167795
"F.1996.may.1",0.0111001957871386
"F.1996.may.2",0.0111001957871386
"F.1996.jun.1",0.0280443646668872
"F.1996.jun.2",0.0280443646668872
"F.1996.jul.1",0.00602463633153445
"F.1996.jul.2",0.00602463633153445
"F.1996.aug.1",0.00317285397568946
