"","seasonality"
"F.1992.jan.1",0.0476286359383874
"F.1992.jan.2",0.0476286359383874
"F.1992.feb.1",0.0597439071182501
"F.1992.feb.2",0.0597439071182501
"F.1992.mar.1",0.0580570008778045
"F.1992.mar.2",0.0580570008778045
"F.1992.apr.1",0.0450012726146373
"F.1992.apr.2",0.0450012726146373
"F.1992.may.1",0.0562426369975716
"F.1992.may.2",0.0562426369975716
"F.1992.jun.1",0.0471165329132045
"F.1992.jun.2",0.0471165329132045
"F.1992.jul.1",0.0481323715862404
"F.1992.jul.2",0.0481323715862404
"F.1992.aug.1",0.0414933791807427
"F.1992.aug.2",0.0414933791807427
"F.1992.sep.1",0.017800583981258
"F.1992.sep.2",0.017800583981258
"F.1992.oct.1",0.0206537548476969
"F.1992.oct.2",0.0206537548476969
"F.1992.nov.1",0.0326494486105833
"F.1992.nov.2",0.0326494486105833
"F.1992.dec.1",0.0254804753336234
"F.1992.dec.2",0.0254804753336234
"F.1993.jan.1",0.0432217731193122
"F.1993.jan.2",0.0432217731193122
"F.1993.feb.1",0.0557927643410846
"F.1993.feb.2",0.0557927643410846
"F.1993.mar.1",0.0556032840229087
"F.1993.mar.2",0.0556032840229087
"F.1993.apr.1",0.0440443981781086
"F.1993.apr.2",0.0440443981781086
"F.1993.may.1",0.0561213148193553
"F.1993.may.2",0.0561213148193553
"F.1993.jun.1",0.0478025685147752
"F.1993.jun.2",0.0478025685147752
"F.1993.jul.1",0.049569318845465
"F.1993.jul.2",0.049569318845465
"F.1993.aug.1",0.0432861021801929
"F.1993.aug.2",0.0432861021801929
"F.1993.sep.1",0.0187881866692467
"F.1993.sep.2",0.0187881866692467
"F.1993.oct.1",0.0221198554687981
"F.1993.oct.2",0.0221198554687981
"F.1993.nov.1",0.0354350730461481
"F.1993.nov.2",0.0354350730461481
"F.1993.dec.1",0.0282153607946046
"F.1993.dec.2",0.0282153607946046
"F.1994.jan.1",0.0365523846148381
"F.1994.jan.2",0.0365523846148381
"F.1994.feb.1",0.048420075055789
"F.1994.feb.2",0.048420075055789
"F.1994.mar.1",0.0494272227688853
"F.1994.mar.2",0.0494272227688853
"F.1994.apr.1",0.0404551412831775
"F.1994.apr.2",0.0404551412831775
"F.1994.may.1",0.0531572861854907
"F.1994.may.2",0.0531572861854907
"F.1994.jun.1",0.047108493347158
"F.1994.jun.2",0.047108493347158
"F.1994.jul.1",0.0507257784772599
"F.1994.jul.2",0.0507257784772599
"F.1994.aug.1",0.0463975512292384
"F.1994.aug.2",0.0463975512292384
"F.1994.sep.1",0.021057338855997
"F.1994.sep.2",0.021057338855997
"F.1994.oct.1",0.0260887976559403
