"","seasonality"
"F.1992.jan.1",0.0230192759909908
"F.1992.jan.2",0.0230192759909908
"F.1992.feb.1",0.0218433569921275
"F.1992.feb.2",0.0218433569921275
"F.1992.mar.1",0.0103185946401009
"F.1992.mar.2",0.0103185946401009
"F.1992.apr.1",0.0106815792825249
"F.1992.apr.2",0.0106815792825249
"F.1992.may.1",0.0114945136370724
"F.1992.may.2",0.0114945136370724
"F.1992.jun.1",0.035167918208974
"F.1992.jun.2",0.035167918208974
"F.1992.jul.1",0.0458759651339433
"F.1992.jul.2",0.0458759651339433
"F.1992.aug.1",0.0422385565190238
"F.1992.aug.2",0.0422385565190238
"F.1992.sep.1",0.0762834910160267
"F.1992.sep.2",0.0762834910160267
"F.1992.oct.1",0.056247495041396
"F.1992.oct.2",0.056247495041396
"F.1992.nov.1",0.0738673744819162
"F.1992.nov.2",0.0738673744819162
"F.1992.dec.1",0.0929618790559037
"F.1992.dec.2",0.0929618790559037
"F.1993.jan.1",0.0322058896925428
"F.1993.jan.2",0.0322058896925428
"F.1993.feb.1",0.00120415826493648
"F.1993.feb.2",0.00120415826493648
"F.1993.mar.1",0.000456012597173301
"F.1993.mar.2",0.000456012597173301
"F.1993.apr.1",0.00114003149307672
"F.1993.apr.2",0.00114003149307672
"F.1993.may.1",0.0122945271294089
"F.1993.may.2",0.0122945271294089
"F.1993.jun.1",0.0875936072368145
"F.1993.jun.2",0.0875936072368145
"F.1993.jul.1",0.137551924910196
"F.1993.jul.2",0.137551924910196
"F.1993.aug.1",0.111983156045119
"F.1993.aug.2",0.111983156045119
"F.1993.sep.1",0.0309269168605534
"F.1993.sep.2",0.0309269168605534
"F.1993.oct.1",0.0402466743067143
"F.1993.oct.2",0.0402466743067143
"F.1993.nov.1",0.0191774672770647
"F.1993.nov.2",0.0191774672770647
"F.1993.dec.1",0.0252196341864004
"F.1993.dec.2",0.0252196341864004
"F.1994.jan.1",0.00669312436708009
"F.1994.jan.2",0.00669312436708009
"F.1994.feb.1",0.00341696258910222
"F.1994.feb.2",0.00341696258910222
"F.1994.mar.1",0.0035226970359126
"F.1994.mar.2",0.0035226970359126
"F.1994.apr.1",0.00562908784195325
"F.1994.apr.2",0.00562908784195325
"F.1994.may.1",0
"F.1994.may.2",0
"F.1994.jun.1",0.109591747222093
"F.1994.jun.2",0.109591747222093
"F.1994.jul.1",0.146618612367742
"F.1994.jul.2",0.146618612367742
