"","seasonality"
"F.1992.jan.1",0.0898054866241254
"F.1992.jan.2",0.0898054866241254
"F.1992.feb.1",0.0150115584200053
"F.1992.feb.2",0.0150115584200053
"F.1992.mar.1",0.0728897984821566
"F.1992.mar.2",0.0728897984821566
"F.1992.apr.1",0.0324359363808582
"F.1992.apr.2",0.0324359363808582
"F.1992.may.1",0.0272696277629074
"F.1992.may.2",0.0272696277629074
"F.1992.jun.1",0.0297174060284594
"F.1992.jun.2",0.0297174060284594
"F.1992.jul.1",0.0523237215261317
"F.1992.jul.2",0.0523237215261317
"F.1992.aug.1",0.039978266849942
"F.1992.aug.2",0.039978266849942
"F.1992.sep.1",0.0212032966024774
"F.1992.sep.2",0.0212032966024774
"F.1992.oct.1",0.0268215908178789
"F.1992.oct.2",0.0268215908178789
"F.1992.nov.1",0.0621065756679185
"F.1992.nov.2",0.0621065756679185
"F.1992.dec.1",0.0304367348371392
"F.1992.dec.2",0.0304367348371392
"F.1993.jan.1",0.0494556716727625
"F.1993.jan.2",0.0494556716727625
"F.1993.feb.1",0.0274492586030136
"F.1993.feb.2",0.0274492586030136
"F.1993.mar.1",0.0386528891398096
"F.1993.mar.2",0.0386528891398096
"F.1993.apr.1",0.0399770783891799
"F.1993.apr.2",0.0399770783891799
"F.1993.may.1",0.0257079005123937
"F.1993.may.2",0.0257079005123937
"F.1993.jun.1",0.04172089204407
"F.1993.jun.2",0.04172089204407
"F.1993.jul.1",0.108885916727165
"F.1993.jul.2",0.108885916727165
"F.1993.aug.1",0.0228367007902993
"F.1993.aug.2",0.0228367007902993
"F.1993.sep.1",0.0180366740726421
"F.1993.sep.2",0.0180366740726421
"F.1993.oct.1",0.0228506487721886
"F.1993.oct.2",0.0228506487721886
"F.1993.nov.1",0.054665097834402
"F.1993.nov.2",0.054665097834402
"F.1993.dec.1",0.0497612714420735
"F.1993.dec.2",0.0497612714420735
"F.1994.jan.1",0.127950073070208
"F.1994.jan.2",0.127950073070208
"F.1994.feb.1",0.0862128884685641
"F.1994.feb.2",0.0862128884685641
"F.1994.mar.1",0.0612445071787831
"F.1994.mar.2",0.0612445071787831
"F.1994.apr.1",0.0344713876922697
"F.1994.apr.2",0.0344713876922697
"F.1994.may.1",0.0397117592136705
"F.1994.may.2",0.0397117592136705
"F.1994.jun.1",0.0261870118697421
"F.1994.jun.2",0.0261870118697421
"F.1994.jul.1",0.0271544359748626
"F.1994.jul.2",0.0271544359748626
"F.1994.aug.1",0.0223255903015027
"F.1994.aug.2",0.0223255903015027
"F.1994.sep.1",0.0310565152314835
"F.1994.sep.2",0.0310565152314835
"F.1994.oct.1",0.018109450999948
"F.1994.oct.2",0.018109450999948
"F.1994.nov.1",0.00672548294767251
"F.1994.nov.2",0.00672548294767251
"F.1994.dec.1",0.018850897051293
"F.1994.dec.2",0.018850897051293
"F.1995.jan.1",0.0783322593247714
"F.1995.jan.2",0.0783322593247714
"F.1995.feb.1",0.0220325132997635
"F.1995.feb.2",0.0220325132997635
"F.1995.mar.1",0.0236498579513492
"F.1995.mar.2",0.0236498579513492
"F.1995.apr.1",0.0511450429989231
"F.1995.apr.2",0.0511450429989231
"F.1995.may.1",0.0712384400899724
"F.1995.may.2",0.0712384400899724
"F.1995.jun.1",0.0345709017944429
"F.1995.jun.2",0.0345709017944429
"F.1995.jul.1",0.0268826963330747
"F.1995.jul.2",0.0268826963330747
"F.1995.aug.1",0.00889520525019369
"F.1995.aug.2",0.00889520525019369
"F.1995.sep.1",0.00897873251145544
"F.1995.sep.2",0.00897873251145544
"F.1995.oct.1",0.011141370406052
"F.1995.oct.2",0.011141370406052
"F.1995.nov.1",0.0917681704734874
"F.1995.nov.2",0.0917681704734874
"F.1995.dec.1",0.0713648095665143
"F.1995.dec.2",0.0713648095665143
"F.1996.jan.1",0.0790468955241964
"F.1996.jan.2",0.0790468955241964
"F.1996.feb.1",0.0878732203249525
"F.1996.feb.2",0.0878732203249525
"F.1996.mar.1",0.0249031197198942
"F.1996.mar.2",0.0249031197198942
"F.1996.apr.1",0.0456463479880094
"F.1996.apr.2",0.0456463479880094
"F.1996.may.1",0.0419011028916512
"F.1996.may.2",0.0419011028916512
"F.1996.jun.1",0.0191644740955753
"F.1996.jun.2",0.0191644740955753
"F.1996.jul.1",0.022236858448177
"F.1996.jul.2",0.022236858448177
"F.1996.aug.1",0.0437703735949721
"F.1996.aug.2",0.0437703735949721
"F.1996.sep.1",0.0403922956713909
"F.1996.sep.2",0.0403922956713909
"F.1996.oct.1",0.0672643778447183
"F.1996.oct.2",0.0672643778447183
"F.1996.nov.1",0.0132116739985771
"F.1996.nov.2",0.0132116739985771
"F.1996.dec.1",0.0145892598978857
"F.1996.dec.2",0.0145892598978857
"F.1997.jan.1",0.0686673377865621
"F.1997.jan.2",0.0686673377865621
"F.1997.feb.1",0.0252413775103716
"F.1997.feb.2",0.0252413775103716
"F.1997.mar.1",0.0368495789553768
"F.1997.mar.2",0.0368495789553768
"F.1997.apr.1",0.0563562942621226
"F.1997.apr.2",0.0563562942621226
"F.1997.may.1",0.0391008733345714
"F.1997.may.2",0.0391008733345714
"F.1997.jun.1",0.0394283633252225
"F.1997.jun.2",0.0394283633252225
"F.1997.jul.1",0.039604922681142
"F.1997.jul.2",0.039604922681142
"F.1997.aug.1",0.0169468256103898
"F.1997.aug.2",0.0169468256103898
"F.1997.sep.1",0.0075305369522139
"F.1997.sep.2",0.0075305369522139
"F.1997.oct.1",0.0256412516628405
"F.1997.oct.2",0.0256412516628405
"F.1997.nov.1",0.100351956585379
"F.1997.nov.2",0.100351956585379
"F.1997.dec.1",0.0442806813338078
"F.1997.dec.2",0.0442806813338078
"F.1998.jan.1",0.00298439702163063
"F.1998.jan.2",0.00298439702163063
"F.1998.feb.1",0.0088899225249622
"F.1998.feb.2",0.0088899225249622
"F.1998.mar.1",7.51882134487516e-05
"F.1998.mar.2",7.51882134487516e-05
"F.1998.apr.1",0.00286094898758732
"F.1998.apr.2",0.00286094898758732
"F.1998.may.1",0.04178591569413
"F.1998.may.2",0.04178591569413
"F.1998.jun.1",0.0652191389239122
"F.1998.jun.2",0.0652191389239122
"F.1998.jul.1",0.0580102705103955
"F.1998.jul.2",0.0580102705103955
"F.1998.aug.1",0.0224897503773236
"F.1998.aug.2",0.0224897503773236
"F.1998.sep.1",0.0163188936410462
"F.1998.sep.2",0.0163188936410462
"F.1998.oct.1",0.0709269067691125
"F.1998.oct.2",0.0709269067691125
"F.1998.nov.1",0.119232561423832
"F.1998.nov.2",0.119232561423832
"F.1998.dec.1",0.091206105912619
"F.1998.dec.2",0.091206105912619
"F.1999.jan.1",0.0143689899350621
"F.1999.jan.2",0.0143689899350621
"F.1999.feb.1",0.0627841543761237
"F.1999.feb.2",0.0627841543761237
"F.1999.mar.1",0.0530114309068526
"F.1999.mar.2",0.0530114309068526
"F.1999.apr.1",0.100886100007433
"F.1999.apr.2",0.100886100007433
"F.1999.may.1",0.0614017268152724
"F.1999.may.2",0.0614017268152724
"F.1999.jun.1",0.033007091548368
"F.1999.jun.2",0.033007091548368
"F.1999.jul.1",0.0307153836993666
"F.1999.jul.2",0.0307153836993666
"F.1999.aug.1",0.000248254178539872
"F.1999.aug.2",0.000248254178539872
"F.1999.sep.1",0.0163870621268526
"F.1999.sep.2",0.0163870621268526
"F.1999.oct.1",0.0365159195948518
"F.1999.oct.2",0.0365159195948518
"F.1999.nov.1",0.0317469525096801
"F.1999.nov.2",0.0317469525096801
"F.1999.dec.1",0.0589269343015976
"F.1999.dec.2",0.0589269343015976
"F.2000.jan.1",0.0540547477670159
"F.2000.jan.2",0.0540547477670159
"F.2000.feb.1",0.119508587833548
"F.2000.feb.2",0.119508587833548
"F.2000.mar.1",0.0145783493884839
"F.2000.mar.2",0.0145783493884839
