,anchoveta,merluza,sardina,jurel,caballa,mesopelagicos,munida,pota,euphausidos
anchoveta,1,0.2,0.9,0.9,0.9,0.55,0.9,0.6,0.6
merluza,0.1,1,0.15,0.15,0.15,0.45,0.025,0.65,0.5
sardina,0.9,0.2,1,0.9,0.9,0.6,0.9,0.6,0.6
jurel,0.9,0.15,0.9,1,0.9,0.6,0.9,0.7,0.6
caballa,0.9,0.15,0.9,0.9,1,0.9,0.9,0.6,0.6
mesopelagicos,0.55,0.45,0.6,0.6,0.9,1,0.5,0.95,0.9
munida,0.05,0.02,0.05,0.9,0.9,0.5,1,0.5,0.55
pota,0.6,0.65,0.6,0.6,0.6,0.95,0.5,1,0.95
euphausidos,0.6,0.5,0.6,0.5,0.6,0.9,0.55,0.95,0.6
SPHY,1,0.06,1,0.5,0.8,1,1,1,1
LPHY,1,0.06,1,0.5,0.8,1,1,1,1
SZOO,1,0.06,1,0.5,0.8,1,1,1,1
LZOO,1,0.06,1,0.5,0.8,1,1,1,1
