,anchovy
1992.041667,498.3369841
1992.083333,515.0197616
1992.125,573.0199497
1992.166667,560.5487958
1992.208333,450.2263184
1992.25,317.9791807
1992.291667,225.1172468
1992.333333,191.7964882
1992.375,197.7982883
1992.416667,208.2259068
1992.458333,219.4217627
1992.5,263.8214459
1992.541667,347.1294402
1992.583333,405.8391583
1992.625,425.7361194
1992.666667,500.9891617
1992.708333,664.4956705
1992.75,802.0574212
1992.791667,840.0919005
1992.833333,863.8138485
1992.875,904.4455243
1992.916667,911.4047552
1992.958333,854.1899032
1993,738.494968
1993.041667,498.3369841
1993.083333,515.0197616
1993.125,573.0199497
1993.166667,560.5487958
1993.208333,450.2263184
1993.25,317.9791807
1993.291667,225.1172468
1993.333333,191.7964882
1993.375,197.7982883
1993.416667,208.2259068
1993.458333,219.4217627
1993.5,263.8214459
1993.541667,347.1294402
1993.583333,405.8391583
1993.625,425.7361194
1993.666667,500.9891617
1993.708333,664.4956705
1993.75,802.0574212
1993.791667,840.0919005
1993.833333,863.8138485
1993.875,904.4455243
1993.916667,911.4047552
1993.958333,854.1899032
1994,738.494968
1994.041667,498.3369841
1994.083333,515.0197616
1994.125,573.0199497
1994.166667,560.5487958
1994.208333,450.2263184
1994.25,317.9791807
1994.291667,225.1172468
1994.333333,191.7964882
1994.375,197.7982883
1994.416667,208.2259068
1994.458333,219.4217627
1994.5,263.8214459
1994.541667,347.1294402
1994.583333,405.8391583
1994.625,425.7361194
1994.666667,500.9891617
1994.708333,664.4956705
1994.75,802.0574212
1994.791667,840.0919005
1994.833333,863.8138485
1994.875,904.4455243
1994.916667,911.4047552
1994.958333,854.1899032
1995,738.494968
1995.041667,498.3369841
1995.083333,515.0197616
1995.125,573.0199497
1995.166667,560.5487958
1995.208333,450.2263184
1995.25,317.9791807
1995.291667,225.1172468
1995.333333,191.7964882
1995.375,197.7982883
1995.416667,208.2259068
1995.458333,219.4217627
1995.5,263.8214459
1995.541667,347.1294402
1995.583333,405.8391583
1995.625,425.7361194
1995.666667,500.9891617
1995.708333,664.4956705
1995.75,802.0574212
1995.791667,840.0919005
1995.833333,863.8138485
1995.875,904.4455243
1995.916667,911.4047552
1995.958333,854.1899032
1996,738.494968
1996.041667,498.3369841
1996.083333,515.0197616
1996.125,573.0199497
1996.166667,560.5487958
1996.208333,450.2263184
1996.25,317.9791807
1996.291667,225.1172468
1996.333333,191.7964882
1996.375,197.7982883
1996.416667,208.2259068
1996.458333,219.4217627
1996.5,263.8214459
1996.541667,347.1294402
1996.583333,405.8391583
1996.625,425.7361194
1996.666667,500.9891617
1996.708333,664.4956705
1996.75,802.0574212
1996.791667,840.0919005
1996.833333,863.8138485
1996.875,904.4455243
1996.916667,911.4047552
1996.958333,854.1899032
1997,738.494968
1997.041667,498.3369841
1997.083333,515.0197616
1997.125,573.0199497
1997.166667,560.5487958
1997.208333,450.2263184
1997.25,317.9791807
1997.291667,225.1172468
1997.333333,191.7964882
1997.375,197.7982883
1997.416667,208.2259068
1997.458333,219.4217627
1997.5,263.8214459
1997.541667,347.1294402
1997.583333,405.8391583
1997.625,425.7361194
1997.666667,500.9891617
1997.708333,664.4956705
1997.75,802.0574212
1997.791667,840.0919005
1997.833333,863.8138485
1997.875,904.4455243
1997.916667,911.4047552
1997.958333,854.1899032
1998,738.494968
1998.041667,498.3369841
1998.083333,515.0197616
1998.125,573.0199497
1998.166667,560.5487958
1998.208333,450.2263184
1998.25,317.9791807
1998.291667,225.1172468
1998.333333,191.7964882
1998.375,197.7982883
1998.416667,208.2259068
1998.458333,219.4217627
1998.5,263.8214459
1998.541667,347.1294402
1998.583333,405.8391583
1998.625,425.7361194
1998.666667,500.9891617
1998.708333,664.4956705
1998.75,802.0574212
1998.791667,840.0919005
1998.833333,863.8138485
1998.875,904.4455243
1998.916667,911.4047552
1998.958333,854.1899032
1999,738.494968
1999.041667,498.3369841
1999.083333,515.0197616
1999.125,573.0199497
1999.166667,560.5487958
1999.208333,450.2263184
1999.25,317.9791807
1999.291667,225.1172468
1999.333333,191.7964882
1999.375,197.7982883
1999.416667,208.2259068
1999.458333,219.4217627
1999.5,263.8214459
1999.541667,347.1294402
1999.583333,405.8391583
1999.625,425.7361194
1999.666667,500.9891617
1999.708333,664.4956705
1999.75,802.0574212
1999.791667,840.0919005
1999.833333,863.8138485
1999.875,904.4455243
1999.916667,911.4047552
1999.958333,854.1899032
2000,738.494968
2000.041667,476.2961095
2000.083333,540.6089289
2000.125,790.562807
2000.166667,759.5389794
2000.208333,418.2050275
2000.25,179.2216626
2000.291667,186.6990868
2000.333333,297.6222688
2000.375,383.7506505
2000.416667,350.0115056
2000.458333,237.2541188
2000.5,214.6730266
2000.541667,310.3651283
2000.583333,408.2271543
2000.625,449.1428581
2000.666667,437.8365881
2000.708333,392.4646779
2000.75,341.4889022
2000.791667,305.3011118
2000.833333,295.8654569
2000.875,327.2226681
2000.916667,414.6325796
2000.958333,545.2053739
2001,677.1329391
2001.041667,752.1474815
2001.083333,702.9049973
2001.125,602.9630242
2001.166667,655.2648608
2001.208333,788.8146487
2001.25,668.8554457
2001.291667,324.1117641
2001.333333,144.4695443
2001.375,202.6930307
2001.416667,247.5754302
2001.458333,231.5365277
2001.5,317.0831808
2001.541667,491.342591
2001.583333,563.7350315
2001.625,500.2405826
2001.666667,427.8101767
2001.708333,397.141838
2001.75,377.624189
2001.791667,383.3173598
2001.833333,471.9578434
2001.875,597.0844147
2001.916667,613.4961485
2001.958333,545.2028971
2002,581.500306
2002.041667,722.6696605
2002.083333,778.9217994
2002.125,701.4633531
2002.166667,587.6627648
2002.208333,463.636513
2002.25,282.446601
2002.291667,101.8590969
2002.333333,78.77842833
2002.375,169.0433312
2002.416667,135.2787657
2002.458333,19.84213112
2002.5,137.4872168
2002.541667,441.0249272
